Pinyin,Hanzi,English,Category
chèn shān,衬衫,Shirt,Clothes
duǎn qún,短裙,Skirt,Clothes
qún zǐ,裙子,Dress,Clothes
tào zhuāng,套装,Suit,Clothes
jiā kè,夹克,Jacket,Clothes
wài tào,外套,Coat,Clothes
máo yī,毛衣,Sweeter,Clothes
shuì yī,睡衣,Pajamas,Clothes
bǐ jī ní,比基尼,Bikini,Clothes
xiōng zhào,胸罩,Bra,Clothes
nèi kù,内裤,Underpants,Clothes
kè tīng,客厅,Living room,Rooms
chú fáng,厨房,Kitchen,Rooms
fàn tīng,饭厅,Dinning room,Rooms
wò shì,卧室,Bedroom,Rooms
yù shì,浴室,Bathroom,Rooms
xué xí shì,学习室,Study room,Rooms
xǐ yī diàn,洗衣店,Laundry room,Rooms
chē kù,车库,Garage,Rooms
yáng tái,阳台,Balcony,Rooms
yuàn zǐ,院子,Backyard,Rooms
huā yuán,花园,Yard,Rooms
wū dǐng,屋顶,Roof,Rooms
gé lóu,阁楼,Attic,Rooms
dì xià shì,地下室,Basement,Rooms
tiān huā bǎn,天花板,Ceilling,Rooms
qiáng,墙,Wall,Rooms
dì miàn,地面,Floor,Rooms
chuāng hù,窗户,Window,Homes
mén bǎ shǒu,门把手,Door handle,Homes
shā fā,沙发,Sofa,Homes
diàn shì,电视,TV,Homes
yáo kòng qì,遥控器,Remote Control,Homes
fú shǒu yǐ,扶手椅,Arm chair,Homes
zhuō zǐ,桌子,Table,Homes
yǐ zǐ,椅子,Chaiir,Homes
chuāng lián,窗帘,Curtain,Homes
xiǎo dì tǎn,小地毯,Rag,Homes
kào diàn,靠垫,Cushions,Homes
jià zǐ,架子,Shelf,Homes
cháng yǐ,长椅,Stool,Homes
bì lú,壁炉,Fireplace,Homes
huì huà,绘画,Painting,Homes
kuàng jià,框架,Frame,Homes
huā píng,花瓶,Vase,Homes
dēng jù,灯具,Lamp,Homes
yuè chí,钥匙,Key,Homes
